farm_id,crop_age_months,farm_acreage,sugarcane_variety,soil_type,rainfall_mm,irrigation_type,fertilizer_kg_per_acre
F0062,13,18.09,Co-94012,Loam,1162.1,Drip,154.8
F0063,9,4.55,Co-0238,Sandy,816.2,Rainfed,185.0
F0064,17,24.95,Co-0238,Sandy,776.4,Rainfed,207.8
F0065,9,7.4,Co-94012,Loam,841.0,Drip,161.9
F0066,17,24.44,Co-0238,Loam,696.5,Drip,181.7
F0067,11,10.86,Co-94012,Loam,972.1,Flood,186.0
F0068,15,1.79,Co-0238,Clay,864.0,Rainfed,132.9
F0069,14,9.28,Co-86032,Black Cotton,1196.0,Rainfed,113.8
F0070,16,16.22,Co-0238,Clay,691.8,Drip,108.7
F0071,15,17.34,Co-94012,Clay,1261.0,Flood,115.2
F0072,12,13.74,Co-94012,Sandy,753.8,Rainfed,118.5
F0073,9,11.75,Co-94012,Loam,702.4,Rainfed,109.0
F0074,12,14.27,Co-94012,Black Cotton,785.1,Flood,203.0
F0075,15,15.22,Co-94012,Sandy,1340.3,Flood,186.0
F0076,17,2.94,CoM-0265,Clay,942.0,Rainfed,86.6
F0077,16,9.87,CoM-0265,Loam,1055.9,Rainfed,117.6
F0078,16,6.81,Co-0238,Sandy,913.2,Flood,83.1
F0079,8,20.28,Co-94012,Loam,932.0,Rainfed,149.7
F0080,16,12.29,Co-0238,Sandy,848.8,Drip,146.7
F0081,14,24.6,Co-94012,,,Drip,
F0082,16,10.57,Co-94012,,,Flood,
F0083,15,20.59,CoM-0265,Black Cotton,1285.7,Flood,194.3
F0084,8,20.16,CoM-0265,Clay,575.1,Flood,215.5
F0085,15,4.62,Co-86032,,,Drip,
F0086,15,13.2,CoM-0265,Loam,1055.6,Rainfed,190.9
F0087,10,17.7,Co-86032,Sandy,876.4,Drip,162.6
F0088,8,21.6,Co-86032,Clay,840.5,Rainfed,147.2
F0089,15,8.82,Co-86032,Black Cotton,1158.7,Drip,138.9
F0090,10,6.29,Co-86032,Clay,995.8,Rainfed,189.9
F0091,10,18.07,Co-86032,Black Cotton,643.2,Drip,169.5
F0092,8,20.43,Co-0238,Clay,1022.6,Flood,192.7
F0093,12,9.37,CoM-0265,Black Cotton,1178.9,Drip,206.4
F0094,17,3.31,Co-86032,,,Rainfed,
F0095,14,23.57,Co-94012,Loam,824.6,Drip,217.3
F0096,17,10.54,CoM-0265,Black Cotton,681.6,Drip,165.1
F0097,16,13.43,CoM-0265,Loam,884.8,Drip,169.1
F0098,14,21.11,Co-86032,Black Cotton,1600.0,Flood,157.7
F0099,16,17.22,Co-0238,Sandy,641.0,Drip,92.7
F0100,15,18.65,Co-86032,Sandy,781.5,Flood,181.7
