farm_id,crop_age_months,farm_acreage,sugarcane_variety,soil_type,rainfall_mm,irrigation_type,fertilizer_kg_per_acre,bagasse_tons,leaves_tons,press_mud_tons
F0087,10,17.7,Co-86032,Sandy,876.4,Drip,162.6,45.77,19.75,7.19
F0088,8,21.6,Co-86032,Clay,840.5,Rainfed,147.2,44.21,16.53,5.95
F0089,15,8.82,Co-86032,Black Cotton,1158.7,Drip,138.9,38.8,14.01,6.07
F0090,10,6.29,Co-86032,Clay,995.8,Rainfed,189.9,17.22,6.22,2.5
F0091,10,18.07,Co-86032,Black Cotton,643.2,Drip,169.5,45.11,21.06,5.85
F0092,8,20.43,Co-0238,Clay,1022.6,Flood,192.7,43.56,17.38,7.0
F0093,12,9.37,CoM-0265,Black Cotton,1178.9,Drip,206.4,28.71,11.75,4.29
F0094,17,3.31,Co-86032,,,Rainfed,,16.63,6.05,2.16
F0095,14,23.57,Co-94012,Loam,824.6,Drip,217.3,77.16,26.72,12.22
F0096,17,10.54,CoM-0265,Black Cotton,681.6,Drip,165.1,44.5,14.97,6.71
F0097,16,13.43,CoM-0265,Loam,884.8,Drip,169.1,55.37,22.51,9.48
F0098,14,21.11,Co-86032,Black Cotton,1600.0,Flood,157.7,78.57,28.25,8.15
F0099,16,17.22,Co-0238,Sandy,641.0,Drip,92.7,79.92,29.33,9.19
F0100,15,18.65,Co-86032,Sandy,781.5,Flood,181.7,66.91,22.18,7.52
