farm_id,crop_age_months,farm_acreage,sugarcane_variety,soil_type,rainfall_mm,irrigation_type,fertilizer_kg_per_acre,bagasse_tons,leaves_tons,press_mud_tons,district,latitude,longitude,ndvi_scene1,ndvi_scene2,ndvi_scene3,ndvi_scene1_date,ndvi_scene2_date,ndvi_scene3_date,ndvi_trend_pct,harvest_ready,cluster_id
F0019,13,5.84,Co-86032,Loam,928.6,Drip,214.2,20.04,8.35,2.7,Solapur,17.77767,75.95129,0.735,0.751,0.729,2026-07-22,2026-08-06,2026-08-21,-0.82,False,
F0020,9,22.5,Co-94012,Clay,852.8,Rainfed,88.1,55.14,16.92,6.52,Sangli,16.8642,74.68627,0.838,0.865,0.869,2026-07-22,2026-08-06,2026-08-21,3.7,False,
F0021,12,12.41,Co-0238,Loam,1268.6,Drip,135.2,38.72,17.18,6.01,Pune,18.61263,73.90398,0.832,0.792,0.74,2026-07-22,2026-08-06,2026-08-21,-11.06,True,16
F0022,8,14.52,Co-0238,Clay,863.2,Rainfed,94.9,32.51,12.15,5.55,Kolhapur,16.82383,74.26379,0.811,0.802,0.83,2026-07-22,2026-08-06,2026-08-21,2.34,False,
F0023,17,17.69,Co-94012,Loam,803.5,Drip,127.0,73.78,25.05,8.56,Sangli,16.7978,74.4596,0.61,0.625,0.599,2026-07-22,2026-08-06,2026-08-21,-1.8,False,
F0024,13,4.34,CoM-0265,Sandy,834.3,Drip,103.8,15.78,5.96,1.55,Sangli,16.73542,74.54181,0.75,0.725,0.714,2026-07-22,2026-08-06,2026-08-21,-4.8,True,17
F0025,16,15.51,CoM-0265,Black Cotton,922.9,Flood,170.6,64.71,24.09,7.79,Solapur,17.57828,75.83596,0.695,0.655,0.638,2026-07-22,2026-08-06,2026-08-21,-8.2,True,18
F0026,8,13.96,Co-0238,Clay,791.3,Flood,134.4,32.57,11.67,4.82,Ahmednagar,19.07293,74.6712,0.776,0.799,0.799,2026-07-22,2026-08-06,2026-08-21,2.96,False,
F0027,17,5.87,Co-0238,Clay,876.3,Rainfed,112.1,26.71,10.68,3.97,Kolhapur,16.8004,74.3852,0.649,0.631,0.599,2026-07-22,2026-08-06,2026-08-21,-7.7,True,3
F0028,10,23.63,CoM-0265,Black Cotton,981.4,Flood,117.2,70.47,18.58,6.51,Solapur,17.76812,75.87433,0.865,0.818,0.796,2026-07-22,2026-08-06,2026-08-21,-7.98,False,
F0029,14,15.37,CoM-0265,Clay,926.9,Rainfed,130.4,58.84,20.68,10.32,Solapur,17.51199,76.02401,0.711,0.725,0.739,2026-07-22,2026-08-06,2026-08-21,3.94,False,
F0030,11,17.67,Co-94012,Clay,1116.3,Flood,116.4,48.25,22.13,8.7,Kolhapur,16.70822,74.28264,0.819,0.836,0.791,2026-07-22,2026-08-06,2026-08-21,-3.42,True,1
F0031,16,22.13,Co-94012,Loam,886.1,Drip,143.5,102.02,31.29,9.06,Pune,18.49562,73.94514,0.605,0.653,0.626,2026-07-22,2026-08-06,2026-08-21,3.47,False,
F0032,10,15.98,CoM-0265,Clay,909.1,Rainfed,84.5,40.96,15.94,6.6,Kolhapur,16.62163,74.24409,0.83,0.843,0.824,2026-07-22,2026-08-06,2026-08-21,-0.72,False,
F0033,12,8.1,Co-94012,Sandy,1004.2,Rainfed,119.2,24.93,8.79,4.3,Kolhapur,16.59096,74.26637,0.785,0.789,0.758,2026-07-22,2026-08-06,2026-08-21,-3.44,True,1
F0034,10,3.53,Co-94012,,,Drip,,8.31,3.32,1.21,Satara,17.63178,74.01606,0.825,0.827,0.816,2026-07-22,2026-08-06,2026-08-21,-1.09,False,
F0035,14,11.96,Co-86032,Black Cotton,792.5,Rainfed,164.4,45.19,16.39,4.47,Satara,17.81337,73.92687,0.763,0.719,0.712,2026-07-22,2026-08-06,2026-08-21,-6.68,True,19
F0036,12,6.24,Co-94012,Clay,1334.7,Rainfed,117.9,20.14,7.33,2.02,Ahmednagar,19.04176,74.81474,0.761,0.775,0.775,2026-07-22,2026-08-06,2026-08-21,1.84,False,
F0037,16,11.0,Co-0238,Black Cotton,713.3,Flood,98.6,45.24,14.68,4.86,Sangli,16.85804,74.51573,0.661,0.657,0.629,2026-07-22,2026-08-06,2026-08-21,-4.84,True,20
F0038,14,22.2,Co-94012,Sandy,995.8,Rainfed,90.7,91.05,32.18,14.3,Kolhapur,16.76591,74.10059,0.733,0.7,0.688,2026-07-22,2026-08-06,2026-08-21,-6.14,True,4
F0039,9,8.78,Co-94012,Clay,882.1,Drip,211.7,19.12,6.22,3.77,Pune,18.47949,73.90034,0.849,0.835,0.844,2026-07-22,2026-08-06,2026-08-21,-0.59,False,
F0040,11,3.93,CoM-0265,Clay,786.9,Flood,138.3,11.04,3.49,1.21,Solapur,17.80143,75.80953,0.791,0.815,0.744,2026-07-22,2026-08-06,2026-08-21,-5.94,True,5
F0041,16,9.55,Co-0238,Black Cotton,1089.8,Flood,161.4,38.93,11.48,4.72,Kolhapur,16.84373,74.37544,0.693,0.684,0.61,2026-07-22,2026-08-06,2026-08-21,-11.98,True,3
F0042,9,22.76,Co-94012,Sandy,1070.0,Drip,208.7,49.06,16.36,5.97,Solapur,17.58543,76.04258,0.82,0.854,0.877,2026-07-22,2026-08-06,2026-08-21,6.95,False,
F0043,17,7.53,Co-94012,Clay,853.8,Drip,91.6,33.98,12.12,3.8,Kolhapur,16.70417,74.36776,0.62,0.668,0.643,2026-07-22,2026-08-06,2026-08-21,3.71,False,
F0044,16,16.54,Co-86032,Black Cotton,531.2,Flood,202.7,73.88,26.53,12.16,Satara,17.62076,73.97935,0.679,0.64,0.635,2026-07-22,2026-08-06,2026-08-21,-6.48,True,21
F0045,17,1.01,Co-94012,Sandy,866.0,Rainfed,157.2,4.59,1.86,0.57,Sangli,16.78785,74.43614,0.644,0.642,0.622,2026-07-22,2026-08-06,2026-08-21,-3.42,True,22
F0046,12,9.46,Co-94012,Black Cotton,977.8,Flood,103.1,27.68,9.02,3.72,Pune,18.38147,73.9852,0.778,0.779,0.766,2026-07-22,2026-08-06,2026-08-21,-1.54,False,
F0047,9,8.31,Co-86032,Loam,950.4,Drip,137.6,19.33,8.26,2.29,Sangli,16.88527,74.55996,0.821,0.879,0.912,2026-07-22,2026-08-06,2026-08-21,11.08,False,
F0048,11,4.95,CoM-0265,Clay,1101.2,Flood,188.9,12.71,5.78,2.19,Solapur,17.6607,76.0464,0.812,0.789,0.812,2026-07-22,2026-08-06,2026-08-21,0.0,False,
F0049,14,13.82,Co-94012,Loam,1336.7,Drip,147.3,56.35,17.8,6.67,Solapur,17.52534,76.04549,0.732,0.698,0.697,2026-07-22,2026-08-06,2026-08-21,-4.78,True,23
F0050,15,12.64,Co-86032,Sandy,1032.8,Flood,217.9,45.31,21.59,8.27,Kolhapur,16.63859,74.3492,0.713,0.673,0.651,2026-07-22,2026-08-06,2026-08-21,-8.7,True,1
F0051,10,17.62,Co-0238,Loam,1063.6,Rainfed,132.7,48.13,20.49,5.31,Satara,17.80298,73.95663,0.882,0.793,0.788,2026-07-22,2026-08-06,2026-08-21,-10.66,False,
F0052,8,7.47,CoM-0265,Loam,979.6,Flood,184.9,17.87,4.99,2.67,Ahmednagar,19.01667,74.71353,0.765,0.794,0.824,2026-07-22,2026-08-06,2026-08-21,7.71,False,
F0053,11,6.86,Co-0238,Sandy,1184.5,Flood,135.0,20.31,6.85,3.03,Satara,17.57397,74.12364,0.863,0.79,0.775,2026-07-22,2026-08-06,2026-08-21,-10.2,True,2
F0054,9,5.04,Co-0238,Black Cotton,1056.3,Drip,196.1,13.38,5.15,1.26,Ahmednagar,19.09164,74.69308,0.781,0.838,0.822,2026-07-22,2026-08-06,2026-08-21,5.25,False,
F0055,15,6.25,Co-86032,Loam,1099.8,Drip,159.7,23.35,9.85,3.32,Solapur,17.8056,75.80725,0.697,0.692,0.657,2026-07-22,2026-08-06,2026-08-21,-5.74,True,5
F0056,11,14.39,Co-94012,Black Cotton,1311.8,Drip,88.9,44.95,12.19,7.37,Satara,17.60312,74.03534,0.832,0.843,0.768,2026-07-22,2026-08-06,2026-08-21,-7.69,True,2
F0057,9,10.69,Co-86032,Loam,995.4,Flood,85.2,25.86,10.35,4.63,Kolhapur,16.75664,74.37415,0.826,0.854,0.884,2026-07-22,2026-08-06,2026-08-21,7.02,False,
F0058,13,2.56,Co-86032,Black Cotton,895.8,Rainfed,98.7,9.36,3.64,1.22,Kolhapur,16.78349,74.30211,0.748,0.733,0.748,2026-07-22,2026-08-06,2026-08-21,0.0,False,
F0059,13,7.09,Co-86032,Sandy,1039.3,Drip,81.9,21.89,9.79,3.41,Kolhapur,16.62629,74.26432,0.756,0.727,0.73,2026-07-22,2026-08-06,2026-08-21,-3.44,True,1
F0060,17,6.93,Co-86032,Loam,1177.2,Drip,90.6,28.65,12.76,5.65,Sangli,16.92086,74.46065,0.63,0.635,0.64,2026-07-22,2026-08-06,2026-08-21,1.59,False,
F0061,11,17.71,CoM-0265,Sandy,1050.3,Flood,176.8,47.18,21.31,7.73,Sangli,16.81273,74.616,0.808,0.779,0.792,2026-07-22,2026-08-06,2026-08-21,-1.98,False,
F0062,13,18.09,Co-94012,Loam,1162.1,Drip,154.8,65.65,19.46,6.07,Sangli,16.89209,74.72852,0.777,0.782,0.713,2026-07-22,2026-08-06,2026-08-21,-8.24,True,24
F0063,9,4.55,Co-0238,Sandy,816.2,Rainfed,185.0,11.86,3.47,1.96,Ahmednagar,19.13486,74.64003,0.827,0.859,0.88,2026-07-22,2026-08-06,2026-08-21,6.41,False,
F0064,17,24.95,Co-0238,Sandy,776.4,Rainfed,207.8,120.16,43.01,13.24,Sangli,16.86313,74.587,0.626,0.616,0.621,2026-07-22,2026-08-06,2026-08-21,-0.8,False,
F0065,9,7.4,Co-94012,Loam,841.0,Drip,161.9,15.68,7.51,2.63,Sangli,16.72949,74.69471,0.838,0.801,0.829,2026-07-22,2026-08-06,2026-08-21,-1.07,False,
F0066,17,24.44,Co-0238,Loam,696.5,Drip,181.7,120.97,36.63,12.11,Solapur,17.76049,75.97863,0.646,0.652,0.606,2026-07-22,2026-08-06,2026-08-21,-6.19,True,6
F0067,11,10.86,Co-94012,Loam,972.1,Flood,186.0,30.69,11.89,3.09,Kolhapur,16.65123,74.3024,0.836,0.803,0.772,2026-07-22,2026-08-06,2026-08-21,-7.66,True,1
F0068,15,1.79,Co-0238,Clay,864.0,Rainfed,132.9,6.98,2.78,0.88,Ahmednagar,19.00076,74.80875,0.713,0.71,0.642,2026-07-22,2026-08-06,2026-08-21,-9.96,True,25
F0069,14,9.28,Co-86032,Black Cotton,1196.0,Rainfed,113.8,31.22,12.19,5.78,Kolhapur,16.56723,74.20115,0.713,0.683,0.719,2026-07-22,2026-08-06,2026-08-21,0.84,False,
F0070,16,16.22,Co-0238,Clay,691.8,Drip,108.7,73.31,27.18,8.29,Satara,17.70777,73.95638,0.659,0.643,0.678,2026-07-22,2026-08-06,2026-08-21,2.88,False,
F0071,15,17.34,Co-94012,Clay,1261.0,Flood,115.2,63.85,29.26,7.93,Ahmednagar,19.14807,74.84081,0.715,0.685,0.642,2026-07-22,2026-08-06,2026-08-21,-10.21,True,0
F0072,12,13.74,Co-94012,Sandy,753.8,Rainfed,118.5,44.67,16.65,5.0,Kolhapur,16.55998,74.33633,0.802,0.776,0.771,2026-07-22,2026-08-06,2026-08-21,-3.87,True,1
F0073,9,11.75,Co-94012,Loam,702.4,Rainfed,109.0,30.6,10.31,4.01,Kolhapur,16.70863,74.35342,0.82,0.826,0.837,2026-07-22,2026-08-06,2026-08-21,2.07,False,
F0074,12,14.27,Co-94012,Black Cotton,785.1,Flood,203.0,40.97,15.97,8.46,Ahmednagar,19.01275,74.87197,0.792,0.787,0.75,2026-07-22,2026-08-06,2026-08-21,-5.3,True,7
F0075,15,15.22,Co-94012,Sandy,1340.3,Flood,186.0,61.42,22.62,8.33,Pune,18.56395,73.8601,0.726,0.664,0.658,2026-07-22,2026-08-06,2026-08-21,-9.37,True,26
F0076,17,2.94,CoM-0265,Clay,942.0,Rainfed,86.6,12.44,4.49,1.95,Pune,18.42271,73.85715,0.628,0.622,0.593,2026-07-22,2026-08-06,2026-08-21,-5.57,True,27
F0077,16,9.87,CoM-0265,Loam,1055.9,Rainfed,117.6,40.46,14.42,7.35,Ahmednagar,19.15208,74.83749,0.681,0.657,0.641,2026-07-22,2026-08-06,2026-08-21,-5.87,True,0
F0078,16,6.81,Co-0238,Sandy,913.2,Flood,83.1,28.87,10.59,4.18,Kolhapur,16.67102,74.28829,0.666,0.665,0.623,2026-07-22,2026-08-06,2026-08-21,-6.46,True,1
F0079,8,20.28,Co-94012,Loam,932.0,Rainfed,149.7,41.7,12.62,4.8,Sangli,16.98342,74.64209,0.786,0.819,0.825,2026-07-22,2026-08-06,2026-08-21,4.96,False,
F0080,16,12.29,Co-0238,Sandy,848.8,Drip,146.7,54.39,16.62,6.39,Kolhapur,16.59626,74.33204,0.692,0.633,0.639,2026-07-22,2026-08-06,2026-08-21,-7.66,True,1
F0081,14,24.6,Co-94012,,,Drip,,91.37,33.62,11.28,Ahmednagar,19.04712,74.865,0.747,0.684,0.695,2026-07-22,2026-08-06,2026-08-21,-6.96,True,7
F0082,16,10.57,Co-94012,,,Flood,,46.05,15.72,5.91,Pune,18.40444,73.8081,0.686,0.681,0.622,2026-07-22,2026-08-06,2026-08-21,-9.33,True,28
F0083,15,20.59,CoM-0265,Black Cotton,1285.7,Flood,194.3,87.24,27.45,11.02,Sangli,16.97981,74.54417,0.726,0.692,0.658,2026-07-22,2026-08-06,2026-08-21,-9.37,True,29
F0084,8,20.16,CoM-0265,Clay,575.1,Flood,215.5,43.63,17.01,7.26,Kolhapur,16.8182,74.12149,0.79,0.79,0.835,2026-07-22,2026-08-06,2026-08-21,5.7,False,
F0085,15,4.62,Co-86032,,,Drip,,18.88,7.2,2.34,Sangli,16.77978,74.60498,0.714,0.716,0.68,2026-07-22,2026-08-06,2026-08-21,-4.76,True,30
F0086,15,13.2,CoM-0265,Loam,1055.6,Rainfed,190.9,53.65,16.23,7.27,Sangli,16.9004,74.44228,0.694,0.687,0.65,2026-07-22,2026-08-06,2026-08-21,-6.34,True,31
F0087,10,17.7,Co-86032,Sandy,876.4,Drip,162.6,45.77,19.75,7.19,Pune,18.61557,73.84638,0.856,0.859,0.822,2026-07-22,2026-08-06,2026-08-21,-3.97,False,
F0088,8,21.6,Co-86032,Clay,840.5,Rainfed,147.2,44.21,16.53,5.95,Pune,18.53696,73.86949,0.787,0.806,0.835,2026-07-22,2026-08-06,2026-08-21,6.1,False,
F0089,15,8.82,Co-86032,Black Cotton,1158.7,Drip,138.9,38.8,14.01,6.07,Ahmednagar,19.1037,74.68396,0.702,0.726,0.637,2026-07-22,2026-08-06,2026-08-21,-9.26,True,32
F0090,10,6.29,Co-86032,Clay,995.8,Rainfed,189.9,17.22,6.22,2.5,Solapur,17.58246,75.93365,0.862,0.87,0.831,2026-07-22,2026-08-06,2026-08-21,-3.6,False,
F0091,10,18.07,Co-86032,Black Cotton,643.2,Drip,169.5,45.11,21.06,5.85,Kolhapur,16.58293,74.10245,0.834,0.83,0.807,2026-07-22,2026-08-06,2026-08-21,-3.24,False,
F0092,8,20.43,Co-0238,Clay,1022.6,Flood,192.7,43.56,17.38,7.0,Pune,18.63956,73.7179,0.832,0.824,0.831,2026-07-22,2026-08-06,2026-08-21,-0.12,False,
F0093,12,9.37,CoM-0265,Black Cotton,1178.9,Drip,206.4,28.71,11.75,4.29,Ahmednagar,19.21493,74.84478,0.77,0.788,0.745,2026-07-22,2026-08-06,2026-08-21,-3.25,True,33
F0094,17,3.31,Co-86032,,,Rainfed,,16.63,6.05,2.16,Solapur,17.69983,75.86446,0.616,0.652,0.574,2026-07-22,2026-08-06,2026-08-21,-6.82,True,34
F0095,14,23.57,Co-94012,Loam,824.6,Drip,217.3,77.16,26.72,12.22,Ahmednagar,19.04651,74.63612,0.753,0.696,0.667,2026-07-22,2026-08-06,2026-08-21,-11.42,True,35
F0096,17,10.54,CoM-0265,Black Cotton,681.6,Drip,165.1,44.5,14.97,6.71,Solapur,17.61466,75.91307,0.656,0.639,0.611,2026-07-22,2026-08-06,2026-08-21,-6.86,True,36
F0097,16,13.43,CoM-0265,Loam,884.8,Drip,169.1,55.37,22.51,9.48,Solapur,17.72769,75.9874,0.682,0.676,0.645,2026-07-22,2026-08-06,2026-08-21,-5.43,True,6
F0098,14,21.11,Co-86032,Black Cotton,1600.0,Flood,157.7,78.57,28.25,8.15,Solapur,17.77903,75.82115,0.743,0.68,0.682,2026-07-22,2026-08-06,2026-08-21,-8.21,True,5
F0099,16,17.22,Co-0238,Sandy,641.0,Drip,92.7,79.92,29.33,9.19,Kolhapur,16.82113,74.28017,0.67,0.631,0.653,2026-07-22,2026-08-06,2026-08-21,-2.54,True,37
F0100,15,18.65,Co-86032,Sandy,781.5,Flood,181.7,66.91,22.18,7.52,Kolhapur,16.78896,74.1189,0.682,0.644,0.637,2026-07-22,2026-08-06,2026-08-21,-6.6,True,4
